Constituency,Caste Category,Winner_Political_Party,Winner_Votes,RunnerUp_Political_Party,RunnerUp_Votes,Margin_Winner_VS_RunnerUp_Votes,Others_Votes,Total_Votes_Pooled,Total_Electors,Margin_Electors_VS_Pooled,Religion_won,,,,,,,,,
Buldhana,GEN,ShivSena,509145,NationalistCongressParty,349566,159579,37661,896372,940218,43846,Hindu,,,,,,,,,
Buxar,GEN,BharatiyaJanataParty,319012,RashtriyaJanataDal,186674,132338,18001,523687,554445,30758,Hindu,,,,,,,,,
Chalakudy,GEN,Independent,358440,INC,344556,13884,21456,724452,768322,43870,Muslim,,,,,,,,,
Chamarajanagar,SC,INC,567782,BharatiyaJanataParty,426600,141182,35644,1030026,1054325,24299,Muslim,,,,,,,,,
Chandauli,GEN,BharatiyaJanataParty,414135,BahujanSamajParty,257379,156756,36565,708079,755725,47646,Others,,,,,,,,,
Chandigarh,GEN,BharatiyaJanataParty,191362,INC,121720,69642,32981,346063,391380,45317,Hindu,,,,,,,,,
ChandniChowk,GEN,BharatiyaJanataParty,437938,AamAadmiParty,301618,136320,25451,765007,824143,59136,Hindu,,,,,,,,,
Chandrapur,GEN,BharatiyaJanataParty,508049,INC,271780,236269,23504,803333,848063,44730,Hindu,,,,,,,,,
Chatra,GEN,BharatiyaJanataParty,295862,INC,117836,178026,46779,460477,486415,25938,Hindu,,,,,,,,,
ChennaiCentral,GEN,AllIndiaAnnaKazhagam,333296,DravidaMunnetraKazhagam,287455,45841,39488,660239,687161,26922,Others,,,,,,,,,
ChennaiNorth,GEN,AllIndiaAnnaKazhagam,406704,DravidaMunnetraKazhagam,307000,99704,34017,747721,781457,33736,Others,,,,,,,,,
ChennaiSouth,GEN,AllIndiaAnnaKazhagam,438404,DravidaMunnetraKazhagam,301779,136625,11055,751238,803805,52567,Christian,,,,,,,,,
Chevella,GEN,TelanganaRashtraSamithi,435077,INC,362054,73023,26252,823383,852517,29134,Hindu,,,,,,,,,
Chhindwara,GEN,INC,559755,BharatiyaJanataParty,443218,116537,22529,1025502,1081360,55858,Hindu,,,,,,,,,
ChhotaUdaipur,ST,BharatiyaJanataParty,607916,INC,428187,179729,30106,1066209,1098701,32492,Hindu,,,,,,,,,
Chidambaram,SC,AllIndiaAnnaKazhagam,429536,ViduthalaiChiruthaigalKatchi,301041,128495,31140,761717,779262,17545,Muslim,,,,,,,,,
Chikballapur,GEN,INC,424800,BharatiyaJanataParty,415280,9520,47289,887369,908944,21575,Hindu,,,,,,,,,
Chikkodi,GEN,INC,474373,BharatiyaJanataParty,471370,3003,13003,958746,1013364,54618,Christian,,,,,,,,,
Chitradurga,SC,INC,467511,BharatiyaJanataParty,366220,101291,34804,868535,910311,41776,Muslim,,,,,,,,,
Chittoor,SC,TeluguDesamParty,594862,YSRCongressParty,550724,44138,36911,1182497,1201936,19439,Hindu,,,,,,,,,
Chittorgarh,GEN,BharatiyaJanataParty,703236,INC,386379,316857,38381,1127996,1153719,25723,Hindu,,,,,,,,,
Churu,GEN,BharatiyaJanataParty,595756,BahujanSamajParty,301017,294739,27924,924697,964415,39718,Hindu,,,,,,,,,
Coimbatore,GEN,AllIndiaAnnaKazhagam,431717,BharatiyaJanataParty,389701,42016,45357,866775,884121,17346,Muslim,,,,,,,,,
CoochBehar,SC,AllIndiaTrinamool,526499,AllIndiaForward,439392,87107,27536,993427,1012539,19112,Others,,,,,,,,,
Cuddalore,GEN,AllIndiaAnnaKazhagam,481429,DravidaMunnetraKazhagam,278304,203125,12283,772016,827831,55815,Christian,,,,,,,,,
Cuttack,GEN,BijuJanataDal,526085,INC,219323,306762,46320,791728,827867,36139,Muslim,,,,,,,,,
DadraAndNagarHaveli,ST,BharatiyaJanataParty,80790,INC,74576,6214,29903,185269,229989,44720,Hindu,,,,,,,,,
Dahod,ST,BharatiyaJanataParty,511111,INC,280757,230354,11913,803781,860431,56650,Hindu,,,,,,,,,
DakshinaKannada,GEN,BharatiyaJanataParty,642739,INC,499030,143709,12199,1153968,1212416,58448,Hindu,,,,,,,,,
DamanAndDiu,GEN,BharatiyaJanataParty,46960,INC,37738,9222,49659,134357,186020,51663,Hindu,,,,,,,,,
Damoh,GEN,BharatiyaJanataParty,513079,INC,299780,213299,18122,830981,886717,55736,Hindu,,,,,,,,,
Darbhanga,GEN,BharatiyaJanataParty,314949,RashtriyaJanataDal,279906,35043,39499,634354,676879,42525,Hindu,,,,,,,,,
Darjeeling,GEN,BharatiyaJanataParty,488257,AllIndiaTrinamool,291018,197239,21638,800913,830337,29424,Hindu,,,,,,,,,
Dausa,ST,BharatiyaJanataParty,315059,NationalPeople'sParty,269655,45404,33205,617919,636601,18682,Others,,,,,,,,,
Davanagere,GEN,BharatiyaJanataParty,518894,INC,501287,17607,26770,1046951,1085942,38991,Hindu,,,,,,,,,
Deoria,GEN,BharatiyaJanataParty,496500,BahujanSamajParty,231114,265386,41284,768898,806180,37282,Hindu,,,,,,,,,
Dewas,SC,BharatiyaJanataParty,665646,INC,405333,260313,23191,1094170,1131935,37765,Hindu,,,,,,,,,
Dhanbad,GEN,BharatiyaJanataParty,543491,INC,250537,292954,34109,828137,849244,21107,Hindu,,,,,,,,,
Dhar,ST,BharatiyaJanataParty,558387,INC,454059,104328,30269,1042715,1078340,35625,Hindu,,,,,,,,,
Dharmapuri,GEN,PattaliMakkalKatchi,468194,AllIndiaAnnaKazhagam,391048,77146,12908,872150,905196,33046,Muslim,,,,,,,,,
Dharwad,GEN,BharatiyaJanataParty,545395,INC,431738,113657,42372,1019505,1040478,20973,Hindu,,,,,,,,,
Dhaurahra,GEN,BharatiyaJanataParty,360357,BahujanSamajParty,234682,125675,24865,619904,641435,21531,Hindu,,,,,,,,,
Dhenkanal,GEN,BijuJanataDal,453277,BharatiyaJanataParty,315937,137340,32875,802089,833958,31869,Others,,,,,,,,,
Dhubri,GEN,AllIndiaUnited,592569,INC,362839,229730,14901,970309,1022712,52403,Muslim,,,,,,,,,
Dhule,GEN,BharatiyaJanataParty,529450,INC,398727,130723,29977,958154,978972,20818,Hindu,,,,,,,,,
DiamondHarbour,GEN,AllIndiaTrinamool,508481,CommunistPartyof,437183,71298,34659,980323,993982,13659,Christian,,,,,,,,,
Dibrugarh,ST,BharatiyaJanataParty,494364,INC,309017,185347,20241,823622,855075,31453,Others,,,,,,,,,
Dindigul,GEN,AllIndiaAnnaKazhagam,510462,DravidaMunnetraKazhagam,382617,127845,43789,936868,975554,38686,Christian,,,,,,,,,
Dindori,ST,BharatiyaJanataParty,542784,NationalistCongressParty,295165,247619,31326,869275,908742,39467,Hindu,,,,,,,,,
Domariyaganj,GEN,BharatiyaJanataParty,298845,BahujanSamajParty,195257,103588,10129,504231,521558,17327,Hindu,,,,,,,,,
DumDum,GEN,AllIndiaTrinamool,483244,CommunistPartyof,328310,154934,31472,843026,860044,17018,Muslim,,,,,,,,,
Dumka,ST,JharkhandMuktiMorcha,335815,BharatiyaJanataParty,296785,39030,44487,677087,689368,12281,Others,,,,,,,,,
Durg,GEN,INC,570687,BharatiyaJanataParty,553839,16848,17977,1142503,1191913,49410,Others,,,,,,,,,
EastDelhi,GEN,BharatiyaJanataParty,572202,AamAadmiParty,381739,190463,47208,1001149,1058526,57377,Hindu,,,,,,,,,
Eluru,GEN,TeluguDesamParty,623471,YSRCongressParty,521545,101926,10248,1155264,1193670,38406,Muslim,,,,,,,,,
Ernakulam,GEN,INC,353841,Independent,266794,87047,26507,647142,657342,10200,Hindu,,,,,,,,,
Erode,GEN,AllIndiaAnnaKazhagam,466995,MarumalarchiDravidaMunnetra,255432,211563,30814,753241,772462,19221,Christian,,,,,,,,,
Etah,GEN,BharatiyaJanataParty,474978,SamajwadiParty,273977,201001,23305,772260,829760,57500,Hindu,,,,,,,,,
Etawah,SC,BharatiyaJanataParty,439646,SamajwadiParty,266700,172946,43395,749741,779782,30041,Hindu,,,,,,,,,
Faizabad,GEN,BharatiyaJanataParty,491761,SamajwadiParty,208986,282775,17314,718061,737910,19849,Christian,,,,,,,,,
Faridabad,GEN,BharatiyaJanataParty,652516,INC,185643,466873,42187,880346,921285,40939,Hindu,,,,,,,,,
Faridkot,SC,AamAadmiParty,450751,ShiromaniAkaliDal,278235,172516,49431,778417,827662,49245,Muslim,,,,,,,,,
Farrukhabad,GEN,BharatiyaJanataParty,406195,SamajwadiParty,255693,150502,23725,685613,711169,25556,Hindu,,,,,,,,,
FatehgarhSahib,SC,AamAadmiParty,367293,INC,313149,54144,26613,707055,729322,22267,Hindu,,,,,,,,,
Fatehpur,GEN,BharatiyaJanataParty,485994,BahujanSamajParty,298788,187206,37615,822397,870620,48223,Hindu,,,,,,,,,
FatehpurSikri,GEN,BharatiyaJanataParty,426589,BahujanSamajParty,253483,173106,12316,692388,736319,43931,Hindu,,,,,,,,,
Ferozpur,GEN,ShiromaniAkaliDal,487932,INC,456512,31420,36117,980561,1020272,39711,Christian,,,,,,,,,
Firozabad,GEN,SamajwadiParty,534583,BharatiyaJanataParty,420524,114059,47597,1002704,1047508,44804,Others,,,,,,,,,
Gadchiroli,ST,BharatiyaJanataParty,535982,INC,299112,236870,19590,854684,866101,11417,Hindu,,,,,,,,,
Gandhinagar,GEN,BharatiyaJanataParty,773539,INC,290418,483121,28916,1092873,1102998,10125,Hindu,,,,,,,,,
Ganganagar,SC,BharatiyaJanataParty,658130,INC,366389,291741,14838,1039357,1061964,22607,Hindu,,,,,,,,,
Garhwal,GEN,BharatiyaJanataParty,405690,INC,221164,184526,39381,666235,678569,12334,Muslim,,,,,,,,,
Gauhati,GEN,BharatiyaJanataParty,764985,INC,449201,315784,31498,1245684,1298683,52999,Hindu,,,,,,,,,
GautamBuddhNagar,GEN,BharatiyaJanataParty,599702,SamajwadiParty,319490,280212,18662,937854,948058,10204,Hindu,,,,,,,,,
Gaya,SC,BharatiyaJanataParty,326230,RashtriyaJanataDal,210726,115504,15055,552011,593185,41174,Hindu,,,,,,,,,
Ghatal,GEN,AllIndiaTrinamool,685696,CommunistPartyof,424805,260891,15496,1125997,1174972,48975,Christian,,,,,,,,,
Ghaziabad,GEN,BharatiyaJanataParty,758482,INC,191222,567260,43167,992871,1020847,27976,Hindu,,,,,,,,,
Ghazipur,GEN,BharatiyaJanataParty,306929,SamajwadiParty,274477,32452,46167,627573,638350,10777,Hindu,,,,,,,,,
Ghosi,GEN,BharatiyaJanataParty,379797,BahujanSamajParty,233782,146015,16815,630394,645719,15325,Muslim,,,,,,,,,
Giridih,GEN,BharatiyaJanataParty,391913,JharkhandMuktiMorcha,351600,40313,44612,788125,821828,33703,Hindu,,,,,,,,,
Godda,GEN,BharatiyaJanataParty,380500,INC,319818,60682,21044,721362,759127,37765,Hindu,,,,,,,,,
Gonda,GEN,BharatiyaJanataParty,359643,SamajwadiParty,199227,160416,11632,570502,588216,17714,Hindu,,,,,,,,,
Gopalganj,SC,BharatiyaJanataParty,478773,INC,191837,286936,31335,701945,724754,22809,Hindu,,,,,,,,,
Gorakhpur,GEN,BharatiyaJanataParty,539127,SamajwadiParty,226344,312783,41402,806873,860630,53757,Hindu,,,,,,,,,
Gulbarga,SC,INC,507193,BharatiyaJanataParty,432460,74733,44196,983849,1011648,27799,Hindu,,,,,,,,,
Guna,GEN,INC,517036,BharatiyaJanataParty,396244,120792,33986,947266,1005604,58338,Hindu,,,,,,,,,
Guntur,GEN,TeluguDesamParty,618417,YSRCongressParty,549306,69111,32748,1200471,1227155,26684,Muslim,,,,,,,,,
Gurdaspur,GEN,BharatiyaJanataParty,482255,INC,346190,136065,45326,873771,891974,18203,Hindu,,,,,,,,,
Gurgaon,GEN,BharatiyaJanataParty,644780,IndianNationalLok,370058,274722,31126,1045964,1066560,20596,Hindu,,,,,,,,,
Gwalior,GEN,BharatiyaJanataParty,442796,INC,413097,29699,45077,900970,919740,18770,Hindu,,,,,,,,,
Hajipur,SC,LokJanshaktiParty,455652,INC,230152,225500,11488,697292,727573,30281,Hindu,,,,,,,,,
Hamirpur,GEN,BharatiyaJanataParty,448035,INC,349632,98403,43043,840710,876905,36195,Hindu,,,,,,,,,
Hamirpur,GEN,BharatiyaJanataParty,453884,SamajwadiParty,187096,266788,28803,669783,694060,24277,Hindu,,,,,,,,,
Hardoi,SC,BharatiyaJanataParty,360501,BahujanSamajParty,279158,81343,22380,662039,696756,34717,Muslim,,,,,,,,,
Haridwar,GEN,BharatiyaJanataParty,592320,INC,414498,177822,32511,1039329,1092360,53031,Hindu,,,,,,,,,
Hassan,GEN,JanataDalSecular,509841,INC,409379,100462,16897,936117,967696,31579,Muslim,,,,,,,,,
Hathras,SC,BharatiyaJanataParty,544277,BahujanSamajParty,217891,326386,44426,806594,824919,18325,Hindu,,,,,,,,,
Hatkanangle,GEN,SwabhimaniPaksha,640428,INC,462618,177810,30196,1133242,1166230,32988,Muslim,,,,,,,,,
Haveri,GEN,BharatiyaJanataParty,566790,INC,479219,87571,27769,1073778,1090603,16825,Others,,,,,,,,,
Hazaribagh,GEN,BharatiyaJanataParty,406931,INC,247803,159128,26623,681357,715081,33724,Hindu,,,,,,,,,
Hindupur,GEN,TeluguDesamParty,604291,YSRCongressParty,"5,06Z966",97325,11787,616078,635582,19504,Hindu,,,,,,,,,
Hingoli,GEN,INC,467397,ShivSena,465765,1632,25918,959080,995129,36049,Others,,,,,,,,,
Hisar,GEN,IndianNationalLok,494478,HaryanaJanhitCongress,462631,31847,23817,980926,997100,16174,Others,,,,,,,,,
Hooghly,GEN,AllIndiaTrinamool,614312,CommunistPartyof,425228,189084,16601,1056141,1081104,24963,Christian,,,,,,,,,
Hoshangabad,GEN,BharatiyaJanataParty,669128,INC,279168,389960,46974,995270,1047203,51933,Others,,,,,,,,,
Hoshiarpur,SC,BharatiyaJanataParty,346643,INC,333061,13582,11223,690927,740099,49172,Others,,,,,,,,,
Howrah,GEN,AllIndiaTrinamool,488461,CommunistPartyof,291505,196956,34933,814899,862546,47647,Muslim,,,,,,,,,
Hyderabad,GEN,AllIndiaMajlis-e-Ittehadul,513868,BharatiyaJanataParty,311414,202454,17754,843036,872793,29757,Christian,,,,,,,,,
Idukki,GEN,Independent,382019,INC,331477,50542,31345,744841,793847,49006,Others,,,,,,,,,
Indore,GEN,BharatiyaJanataParty,854972,INC,388071,466901,21397,1264440,1306308,41868,Hindu,,,,,,,,,
InnerManipur,GEN,INC,292102,CommunistPartyof,197428,94674,45822,535352,558403,23051,Christian,,,,,,,,,
Jabalpur,GEN,BharatiyaJanataParty,564609,INC,355970,208639,41338,961917,982197,20280,Hindu,,,,,,,,,
Jadavpur,GEN,AllIndiaTrinamool,584244,CommunistPartyof,459041,125203,14081,1057366,1100216,42850,Others,,,,,,,,,
Jagatsinghpur,SC,BijuJanataDal,624492,INC,348098,276394,42612,1015202,1058618,43416,Christian,,,,,,,,,
Jahanabad,GEN,RashtriyaLokSamta,322647,RashtriyaJanataDal,280307,42340,43317,646271,676856,30585,Hindu,,,,,,,,,
Jaipur,GEN,BharatiyaJanataParty,863358,INC,324013,539345,17207,1204578,1236849,32271,Hindu,,,,,,,,,
JaipurRural,GEN,BharatiyaJanataParty,632930,INC,300034,332896,48402,981366,1018762,37396,Hindu,,,,,,,,,
Jajpur,SC,BijuJanataDal,541349,INC,221078,320271,36004,798431,828675,30244,Christian,,,,,,,,,
Jalandhar,SC,INC,380479,ShiromaniAkaliDal,309498,70981,22112,712089,742654,30565,Muslim,,,,,,,,,
Jalaun,SC,BharatiyaJanataParty,548631,BahujanSamajParty,261429,287202,25417,835477,855885,20408,Others,,,,,,,,,
Jalgaon,GEN,BharatiyaJanataParty,647773,NationalistCongressParty,264248,383525,45466,957487,973997,16510,Hindu,,,,,,,,,
Jalna,GEN,BharatiyaJanataParty,591428,INC,384630,206798,44676,1020734,1063324,42590,Hindu,,,,,,,,,
Jalore,SC,BharatiyaJanataParty,580508,INC,199363,381145,45866,825737,850769,25032,Others,,,,,,,,,
Jalpaiguri,SC,AllIndiaTrinamool,494773,CommunistPartyof,425167,69606,16267,936207,977911,41704,Others,,,,,,,,,
Jammu,GEN,BharatiyaJanataParty,619995,INC,362715,257280,27107,1009817,1023817,14000,Hindu,,,,,,,,,
Jamnagar,GEN,BharatiyaJanataParty,484412,INC,309123,175289,43594,837129,890814,53685,Others,,,,,,,,,
Jamshedpur,GEN,BharatiyaJanataParty,464153,JharkhandVikasMorcha,364277,99876,29964,858394,887897,29503,Hindu,,,,,,,,,
Jamui,SC,LokJanshaktiParty,285354,RashtriyaJanataDal,199407,85947,35175,519936,554775,34839,Christian,,,,,,,,,
Jangipur,GEN,INC,378201,CommunistPartyof,370040,8161,23644,771885,785898,14013,Hindu,,,,,,,,,
Janjgir,SC,BharatiyaJanataParty,518909,INC,343948,174961,48630,911487,966148,54661,Hindu,,,,,,,,,
Jaunpur,GEN,BharatiyaJanataParty,367149,BahujanSamajParty,220839,146310,12058,600046,653906,53860,Hindu,,,,,,,,,
Jaynagar,SC,AllIndiaTrinamool,494746,RevolutionarySocialistParty,386362,108384,23312,904420,933530,29110,Hindu,,,,,,,,,
JhalawarBaran,GEN,BharatiyaJanataParty,676102,INC,394556,281546,33634,1104292,1144706,40414,Hindu,,,,,,,,,
Jhanjharpur,GEN,BharatiyaJanataParty,335481,RashtriyaJanataDal,280073,55408,41455,657009,703882,46873,Hindu,,,,,,,,,
Jhansi,GEN,BharatiyaJanataParty,575889,SamajwadiParty,385422,190467,23607,984918,1033813,48895,Hindu,,,,,,,,,
Jhargram,ST,AllIndiaTrinamool,674504,CommunistPartyof,326621,347883,45539,1046664,1091920,45256,Hindu,,,,,,,,,
Jhunjhunu,GEN,BharatiyaJanataParty,488182,INC,254347,233835,43156,785685,806596,20911,Hindu,,,,,,,,,
Jodhpur,GEN,BharatiyaJanataParty,713515,INC,303464,410051,11669,1028648,1077273,48625,Hindu,,,,,,,,,
Jorhat,GEN,BharatiyaJanataParty,456420,INC,354000,102420,29821,840241,850478,10237,Hindu,,,,,,,,,
Junagadh,GEN,BharatiyaJanataParty,513179,INC,377347,135832,10749,901275,934777,33502,Hindu,,,,,,,,,
Kachchh,SC,BharatiyaJanataParty,562855,INC,308373,254482,21500,892728,928977,36249,Hindu,,,,,,,,,
Kadapa,GEN,YSRCongressParty,671983,TeluguDesamParty,481660,190323,35221,1188864,1213522,24658,Muslim,,,,,,,,,
Kairana,GEN,BharatiyaJanataParty,565909,SamajwadiParty,329081,236828,15597,910587,970319,59732,Hindu,,,,,,,,,
Kaiserganj,GEN,BharatiyaJanataParty,381500,SamajwadiParty,303282,78218,43904,728686,787936,59250,Hindu,,,,,,,,,
Kakinada,GEN,TeluguDesamParty,514402,YSRCongressParty,510971,3431,25637,1051010,1110815,59805,Others,,,,,,,,,
Kalahandi,GEN,BijuJanataDal,370871,BharatiyaJanataParty,314524,56347,46692,732087,756544,24457,Christian,,,,,,,,,
Kaliabor,GEN,INC,443315,BharatiyaJanataParty,349441,93874,32216,824972,851366,26394,Hindu,,,,,,,,,
Kallakurichi,GEN,AllIndiaAnnaKazhagam,533383,DravidaMunnetraKazhagam,309876,223507,28700,871959,911578,39619,Muslim,,,,,,,,,
Kalyan,GEN,ShivSena,440892,NationalistCongressParty,190143,250749,46314,677349,714710,37361,Hindu,,,,,,,,,
Kancheepuram,SC,AllIndiaAnnaKazhagam,499395,DravidaMunnetraKazhagam,352529,146866,10925,862849,889928,27079,Muslim,,,,,,,,,
Kandhamal,GEN,BijuJanataDal,421458,INC,240441,181017,19444,681343,697765,16422,Others,,,,,,,,,
Kangra,GEN,BharatiyaJanataParty,456163,INC,286091,170072,49923,792177,824867,32690,Hindu,,,,,,,,,
Kanker,ST,BharatiyaJanataParty,465215,INC,430057,35158,28118,923390,941807,18417,Others,,,,,,,,,
Kannauj,GEN,SamajwadiParty,489164,BharatiyaJanataParty,469257,19907,49805,1008226,1055507,47281,Hindu,,,,,,,,,
Kannur,GEN,BharatiyaJanataParty,372906,INC,244244,128662,13595,630745,685627,54882,Hindu,,,,,,,,,
KanpurUrban,GEN,CommunistPartyof,427622,INC,421056,6566,41858,890536,948245,57709,Others,,,,,,,,,
Kanthi,GEN,BharatiyaJanataParty,474712,INC,251766,222946,46751,773229,790407,17178,Hindu,,,,,,,,,
Kanyakumari,GEN,AllIndiaTrinamool,676749,CommunistPartyof,447259,229490,35215,1159223,1191670,32447,Hindu,,,,,,,,,
Karakat,GEN,RashtriyaLokSamta,338892,RashtriyaJanataDal,233651,105241,47194,619737,655486,35749,Christian,,,,,,,,,
KarauliDholpur,SC,BharatiyaJanataParty,402407,INC,375191,27216,23172,800770,838665,37895,Others,,,,,,,,,
Karimganj,SC,AllIndiaUnited,362866,BharatiyaJanataParty,260772,102094,36831,660469,701026,40557,Christian,,,,,,,,,
Karimnagar,GEN,TelanganaRashtraSamithi,505783,INC,300706,205077,22746,829235,848241,19006,Muslim,,,,,,,,,
Karnal,GEN,BharatiyaJanataParty,594817,INC,234670,360147,32630,862117,897381,35264,Others,,,,,,,,,
Karur,GEN,AllIndiaAnnaKazhagam,540722,DravidaMunnetraKazhagam,345475,195247,22556,908753,945848,37095,Muslim,,,,,,,,,
Kasaragod,GEN,CommunistPartyof,384964,INC,378043,6921,30785,793792,821323,27531,Christian,,,,,,,,,
Katihar,GEN,NationalistCongressParty,431292,BharatiyaJanataParty,316552,114740,36454,784298,818881,34583,Muslim,,,,,,,,,
Kaushambi,SC,BharatiyaJanataParty,331593,SamajwadiParty,288746,42847,40215,660554,702783,42229,Hindu,,,,,,,,,
Kendrapara,GEN,BijuJanataDal,601574,INC,392466,209108,43031,1037071,1053448,16377,Christian,,,,,,,,,
Keonjhar,ST,BijuJanataDal,434471,BharatiyaJanataParty,277154,157317,39535,751160,777428,26268,Hindu,,,,,,,,,
KhadoorSahib,GEN,ShiromaniAkaliDal,467332,INC,366763,100569,44738,878833,889848,11015,Muslim,,,,,,,,,
Khagaria,GEN,LokJanshaktiParty,313806,RashtriyaJanataDal,237803,76003,29149,580758,609800,29042,Others,,,,,,,,,
Khajuraho,GEN,BharatiyaJanataParty,474966,INC,227476,247490,23591,726033,754416,28383,Hindu,,,,,,,,,
Khammam,GEN,YSRCongressParty,421957,TeluguDesamParty,409983,11974,47869,879809,901519,21710,Muslim,,,,,,,,,
Khandwa,GEN,BharatiyaJanataParty,717357,INC,457643,259714,43821,1218821,1252605,33784,Hindu,,,,,,,,,
Khargone,ST,BharatiyaJanataParty,649354,INC,391475,257879,24661,1065490,1092870,27380,Hindu,,,,,,,,,
Kheda,GEN,BharatiyaJanataParty,568235,INC,335334,232901,14006,917575,961299,43724,Hindu,,,,,,,,,
Kheri,GEN,BharatiyaJanataParty,398578,BahujanSamajParty,288304,110274,17584,704466,756979,52513,Hindu,,,,,,,,,
Khunti,ST,BharatiyaJanataParty,269185,JharkhandParty,176937,92248,30268,476390,525632,49242,Hindu,,,,,,,,,
Kishanganj,GEN,INC,493461,BharatiyaJanataParty,298849,194612,23709,816019,875832,59813,Others,,,,,,,,,
Kodarma,GEN,BharatiyaJanataParty,365410,CommunistPartyofLiberation,266756,98654,31683,663849,690046,26197,Hindu,,,,,,,,,
Kokrajhar,ST,Independent,634428,Independent,278649,355779,13084,926161,969166,43005,Others,,,,,,,,,
Kolar,GEN,INC,418926,JanataDalSecular,371076,47850,11386,801388,839908,38520,Others,,,,,,,,,
Kolhapur,GEN,NationalistCongressParty,607665,ShivSena,574406,33259,12781,1194852,1253181,58329,Hindu,,,,,,,,,
KolkataDakshin,GEN,AllIndiaTrinamool,431715,BharatiyaJanataParty,295376,136339,44735,771826,805782,33956,Others,,,,,,,,,
KolkataUttar,GEN,AllIndiaTrinamool,343687,BharatiyaJanataParty,247461,96226,28224,619372,652931,33559,Muslim,,,,,,,,,
Kollam,GEN,RevolutionarySocialistParty,408528,CommunistPartyof,370879,37649,30509,809916,839865,29949,Hindu,,,,,,,,,
Koppal,GEN,BharatiyaJanataParty,486383,INC,453969,32414,11112,951464,993031,41567,Hindu,,,,,,,,,
Koraput,ST,BijuJanataDal,395109,INC,375781,19328,24479,795369,835552,40183,Muslim,,,,,,,,,
Korba,GEN,BharatiyaJanataParty,439002,INC,434737,4265,11327,885066,941040,55974,Others,,,,,,,,,
Kota,GEN,BharatiyaJanataParty,644822,INC,444040,200782,31434,1120296,1149447,29151,Hindu,,,,,,,,,
Kottayam,GEN,KeralaCongressM,424194,JanataDalSecular,303595,120599,41813,769602,811775,42173,Hindu,,,,,,,,,
Kozhikode,GEN,INC,397615,CommunistPartyof,380732,16883,36401,814748,860500,45752,Christian,,,,,,,,,
Krishnagiri,GEN,AllIndiaAnnaKazhagam,480491,DravidaMunnetraKazhagam,273900,206591,49821,804212,853702,49490,Hindu,,,,,,,,,
Krishnanagar,GEN,AllIndiaTrinamool,438789,CommunistPartyof,367534,71255,32047,838370,887366,48996,Muslim,,,,,,,,,
Kurnool,GEN,YSRCongressParty,472782,TeluguDesamParty,428651,44131,12280,913713,927553,13840,Hindu,,,,,,,,,
Kurukshetra,GEN,BharatiyaJanataParty,418112,IndianNationalLok,288376,129736,29517,736005,758407,22402,Hindu,,,,,,,,,
KushiNagar,GEN,BharatiyaJanataParty,370051,INC,284511,85540,26858,681420,697208,15788,Hindu,,,,,,,,,
Ladakh,ST,BharatiyaJanataParty,31111,Independent,31075,36,17045,79231,89829,10598,Hindu,,,,,,,,,
Lakhimpur,GEN,BharatiyaJanataParty,612543,INC,320405,292138,15132,948080,959898,11818,Hindu,,,,,,,,,
Lakshadweep,ST,NationalistCongressParty,21665,INC,20130,1535,49081,90876,115278,24402,Christian,,,,,,,,,
Lalganj,SC,BharatiyaJanataParty,324016,SamajwadiParty,260930,63086,48096,633042,683546,50504,Hindu,,,,,,,,,
Latur,SC,BharatiyaJanataParty,616509,INC,363114,253395,39367,1018990,1046796,27806,Hindu,,,,,,,,,
Lohardaga,ST,BharatiyaJanataParty,226666,INC,220177,6489,31304,478147,527682,49535,Hindu,,,,,,,,,
Lucknow,GEN,BharatiyaJanataParty,561106,INC,288357,272749,19313,868776,906375,37599,Others,,,,,,,,,
Ludhiana,GEN,INC,300459,AamAadmiParty,280750,19709,49715,630924,662006,31082,Hindu,,,,,,,,,
Machhlishahr,SC,BharatiyaJanataParty,438210,BahujanSamajParty,266055,172155,12636,716901,742104,25203,Hindu,,,,,,,,,
Machilipatnam,GEN,TeluguDesamParty,587280,YSRCongressParty,506223,81057,39727,1133230,1150643,17413,Christian,,,,,,,,,
Madha,GEN,NationalistCongressParty,489989,SwabhimaniPaksha,464645,25344,40464,995098,1022608,27510,Muslim,,,,,,,,,
Madhepura,GEN,RashtriyaJanataDal,368937,JanataDalUnited,312728,56209,40971,722636,752042,29406,Others,,,,,,,,,
Madhubani,GEN,BharatiyaJanataParty,358040,RashtriyaJanataDal,337505,20535,21577,717122,754183,37061,Hindu,,,,,,,,,
Madurai,GEN,AllIndiaAnnaKazhagam,454167,DravidaMunnetraKazhagam,256731,197436,38910,749808,796545,46737,Christian,,,,,,,,,
Mahabubabad,ST,TelanganaRashtraSamithi,320569,INC,285577,34992,35964,642110,654459,12349,Christian,,,,,,,,,
Maharajganj,GEN,TelanganaRashtraSamithi,334228,INC,331638,2590,43701,709567,723252,13685,Hindu,,,,,,,,,
Maharajganj,GEN,BharatiyaJanataParty,320753,RashtriyaJanataDal,282338,38415,14148,617239,660978,43739,Hindu,,,,,,,,,
Mahasamund,GEN,BharatiyaJanataParty,471542,BahujanSamajParty,231084,240458,18131,720757,762169,41412,Hindu,,,,,,,,,
Mahbubnagar,GEN,BharatiyaJanataParty,503514,INC,502297,1217,21822,1027633,1060080,32447,Hindu,,,,,,,,,
Mahesana,GEN,BharatiyaJanataParty,580250,INC,371359,208891,27198,978807,1020156,41349,Hindu,,,,,,,,,
